run_id,seed,kp,ki,kd,target_speed_m_s,dt_s,steps,noise_sigma,overshoot_m_s,settling_time_s,steady_state_error_m_s,mean_abs_error_m_s,duration_s,sample_count,tolerance_m_s,target_ref_m_s,overshoot_ratio,ss_err_ratio,label
31,42,0.938762,0.188783,0.155725,30.910610,0.100000,300,0.000000,0.039903,9.400000,0.001726,4.801373,29.900000,300,0.618212,30.910610,0.064546,0.002792,no_change
32,42,0.100629,0.113455,0.003895,42.872958,0.100000,300,0.000000,2.602077,19.800000,0.065108,9.813391,29.900000,300,0.857459,42.872958,3.034637,0.075932,reduce_kp
33,42,1.066594,0.291083,0.061503,16.737755,0.100000,300,0.000000,0.044774,4.900000,0.000126,1.388009,29.900000,300,0.500000,16.737755,0.089549,0.000253,no_change
34,42,1.065811,0.331432,0.017131,29.579714,0.100000,300,0.000000,0.014730,8.800000,0.000073,4.378578,29.900000,300,0.591594,29.579714,0.024898,0.000123,no_change
35,42,0.176134,0.266211,0.153167,18.851744,0.100000,300,0.000000,2.553735,-1.0,2.553697,3.776202,29.900000,300,0.500000,18.851744,5.107471,5.107393,reduce_kp
36,42,0.622811,0.192431,0.053011,41.172991,0.100000,300,0.000000,0.076378,12.700000,0.001378,8.615814,29.900000,300,0.823460,41.172991,0.092753,0.001674,increase_kp
37,42,0.565452,0.074129,0.107859,36.897932,0.100000,300,0.000000,0.036231,11.500000,0.008002,6.898086,29.900000,300,0.737959,36.897932,0.049097,0.010844,no_change
38,42,0.321266,0.109101,0.199030,34.496342,0.100000,300,0.000000,0.920020,15.800000,0.016963,6.175995,29.900000,300,0.689927,34.496342,1.333504,0.024586,reduce_ki
39,42,0.581910,0.181152,0.024201,21.740920,0.100000,300,0.000000,0.136338,6.600000,0.000182,2.368609,29.900000,300,0.500000,21.740920,0.272676,0.000365,no_change
40,42,0.471894,0.205908,0.046023,21.606522,0.100000,300,0.000000,0.307686,6.600000,0.000001,2.357187,29.900000,300,0.500000,21.606522,0.615373,0.000002,reduce_ki
41,42,0.178092,0.220886,0.045788,42.162600,0.100000,300,0.000000,1.740369,17.300000,0.025560,9.261608,29.900000,300,0.843252,42.162600,2.063878,0.030311,reduce_kp
42,42,1.045599,0.024800,0.047601,35.069333,0.100000,300,0.000000,0.000000,10.600000,0.054009,6.232367,29.900000,300,0.701387,35.069333,0.000000,0.077004,no_change
43,42,0.335660,0.046309,0.187103,32.131293,0.100000,300,0.000000,0.412358,10.700000,0.072168,5.365545,29.900000,300,0.642626,32.131293,0.641677,0.112302,reduce_ki
44,42,0.619938,0.274617,0.161499,20.712297,0.100000,300,0.000000,0.342205,6.400000,0.000000,2.171466,29.900000,300,0.500000,20.712297,0.684409,0.000000,reduce_ki
45,42,0.206624,0.150868,0.084716,29.010740,0.100000,300,0.000000,1.746250,17.300000,0.002504,4.585084,29.900000,300,0.580215,29.010740,3.009662,0.004316,reduce_kp
46,42,0.901983,0.235678,0.196833,17.952536,0.100000,300,0.000000,0.150404,5.400000,0.000516,1.621657,29.900000,300,0.500000,17.952536,0.300809,0.001032,no_change
47,42,0.542883,0.118756,0.172335,22.459690,0.100000,300,0.000000,0.265528,7.100000,0.003294,2.576393,29.900000,300,0.500000,22.459690,0.531055,0.006589,no_change
48,42,0.309230,0.157015,0.084376,23.356354,0.100000,300,0.000000,0.870336,12.500000,0.001127,2.870829,29.900000,300,0.500000,23.356354,1.740673,0.002254,reduce_ki
49,42,0.374787,0.323143,0.088626,40.840473,0.100000,300,0.000000,0.733091,12.600000,0.000034,8.527311,29.900000,300,0.816809,40.840473,0.897506,0.000042,reduce_ki
50,42,0.705358,0.017706,0.199856,40.080828,0.100000,300,0.000000,0.000000,12.500000,0.090365,8.218546,29.900000,300,0.801617,40.080828,0.000000,0.112729,increase_kp
51,42,1.165896,0.324228,0.169739,19.989333,0.100000,300,0.000000,0.078016,6.000000,0.000253,1.991505,29.900000,300,0.500000,19.989333,0.156032,0.000507,no_change
52,42,0.634205,0.074812,0.080208,16.759062,0.100000,300,0.000000,0.075938,5.200000,0.007618,1.418606,29.900000,300,0.500000,16.759062,0.151877,0.015235,no_change
53,42,0.516870,0.344858,0.053041,38.522118,0.100000,300,0.000000,0.278609,11.900000,0.000020,7.529793,29.900000,300,0.770442,38.522118,0.361623,0.000026,no_change
54,42,0.600509,0.148053,0.191464,44.862681,0.100000,300,0.000000,0.136414,14.100000,0.010510,10.303217,29.900000,300,0.897254,44.862681,0.152035,0.011714,increase_kp
55,42,0.711345,0.251443,0.030959,23.901235,0.100000,300,0.000000,0.088797,7.200000,0.000066,2.854156,29.900000,300,0.500000,23.901235,0.177593,0.000132,no_change
56,42,1.165580,0.202713,0.108439,37.439267,0.100000,300,0.000000,0.000000,11.400000,0.001225,7.081566,29.900000,300,0.748785,37.439267,0.000000,0.001637,no_change
57,42,0.162882,0.204462,0.100570,40.581597,0.100000,300,0.000000,2.207736,18.500000,0.038624,8.720655,29.900000,300,0.811632,40.581597,2.720119,0.047589,reduce_kp
58,42,0.273176,0.336273,0.016022,20.574749,0.100000,300,0.000000,1.065309,-1.0,1.050796,2.915242,29.900000,300,0.500000,20.574749,2.130618,2.101593,increase_ki
59,42,0.754539,0.236324,0.047041,18.596598,0.100000,300,0.000000,0.110585,5.500000,0.000116,1.726285,29.900000,300,0.500000,18.596598,0.221171,0.000232,no_change
60,42,1.079316,0.086175,0.118904,33.581445,0.100000,300,0.000000,0.000000,10.200000,0.010500,5.683846,29.900000,300,0.671629,33.581445,0.000000,0.015633,no_change
61,42,0.561147,0.204285,0.104557,43.041188,0.100000,300,0.000000,0.186728,13.400000,0.001090,9.453499,29.900000,300,0.860824,43.041188,0.216918,0.001266,increase_kp
